campaign_id,campaign_name,campaign_type,product_category,start_date,end_date,status
1001,Cross-group global project,Website,Personal Loan,05-01-25,22-08-25,Paused
1002,Operative uniform implementation,Instagram,Personal Loan,17-09-24,22-08-25,Paused
1003,Visionary foreground database,Facebook,Personal Loan,29-04-25,22-08-25,Active
1004,Right-sized zero tolerance moratorium,Email,Insurance,20-03-25,22-08-25,Paused
1005,Switchable even-keeled matrix,SMS,Personal Loan,27-10-24,22-08-25,Active
1006,Total uniform functionalities,Branch,Credit Card,31-08-24,22-08-25,Completed
1007,Managed encompassing open system,Google Ads,Insurance,05-11-24,22-08-25,Active
1008,Function-based context-sensitive solution,Google Ads,Personal Loan,28-04-25,22-08-25,Paused
1009,Monitored systematic utilization,Google Ads,Personal Loan,14-12-24,22-08-25,Active
1010,Monitored well-modulated functionalities,Website,Home Loan,14-06-25,22-08-25,Completed
1011,Compatible secondary methodology,Mobile App,Personal Loan,20-11-24,22-08-25,Completed
1012,Reverse-engineered modular array,Website,Insurance,26-11-24,22-08-25,Paused
1013,Intuitive analyzing portal,Facebook,Insurance,10-10-24,22-08-25,Completed
1014,Team-oriented dynamic database,Google Ads,Home Loan,04-12-24,22-08-25,Completed
1015,Secured maximized paradigm,SMS,Home Loan,01-08-25,22-08-25,Paused
1016,Fully-configurable full-range process improvement,Website,Personal Loan,10-12-24,22-08-25,Active
1017,Persevering user-facing analyzer,Facebook,Credit Card,09-05-25,22-08-25,Completed
1018,Profound neutral frame,Mobile App,Personal Loan,27-12-24,22-08-25,Completed
1019,Switchable fault-tolerant definition,Mobile App,Credit Card,23-12-24,22-08-25,Active
1020,Multi-tiered asynchronous throughput,Mobile App,Savings Account,08-05-25,22-08-25,Active
1021,Ergonomic maximized extranet,Website,Credit Card,10-02-25,22-08-25,Paused
1022,Persistent interactive parallelism,Website,Credit Card,28-04-25,22-08-25,Active
1023,Multi-channeled discrete instruction set,Branch,Home Loan,05-07-25,22-08-25,Paused
1024,Digitized optimal project,Google Ads,Personal Loan,22-02-25,22-08-25,Paused
1025,Pre-emptive static support,Facebook,Home Loan,28-03-25,22-08-25,Paused
1026,Reactive needs-based alliance,Email,Home Loan,13-11-24,22-08-25,Paused
1027,De-engineered national parallelism,Mobile App,Insurance,08-01-25,22-08-25,Active
1028,Innovative 24hour array,Email,Home Loan,17-06-25,22-08-25,Completed
1029,Self-enabling bifurcated capability,Google Ads,Insurance,14-02-25,22-08-25,Paused
1030,Enterprise-wide encompassing infrastructure,Website,Insurance,04-01-25,22-08-25,Completed
1031,Realigned background solution,Instagram,Home Loan,13-11-24,22-08-25,Active
1032,Business-focused system-worthy utilization,Google Ads,Savings Account,08-11-24,22-08-25,Paused
1033,Decentralized system-worthy framework,Instagram,Savings Account,09-11-24,22-08-25,Paused
1034,Balanced tangible orchestration,SMS,Savings Account,30-06-25,22-08-25,Paused
1035,Networked executive info-mediaries,Website,Savings Account,08-06-25,22-08-25,Active
